2026-05-13 06:11:55.113 [restartedMain] INFO  [traceId=, spanId=] c.t.d.TaviaDiscoveryServiceApplication — Starting TaviaDiscoveryServiceApplication using Java 21.0.10 with PID 17659 (/home/tuna/Desktop/tavia_v2/tavia-discovery-service/build/classes/java/main started by tuna in /home/tuna/Desktop/tavia_v2/tavia-discovery-service)
2026-05-13 06:11:55.116 [restartedMain] DEBUG [traceId=, spanId=] c.t.d.TaviaDiscoveryServiceApplication — Running with Spring Boot v4.0.6, Spring v7.0.7
2026-05-13 06:11:55.117 [restartedMain] INFO  [traceId=, spanId=] c.t.d.TaviaDiscoveryServiceApplication — No active profile set, falling back to 1 default profile: "default"
2026-05-13 06:11:55.142 [restartedMain] INFO  [traceId=, spanId=] o.s.c.c.c.ConfigServerConfigDataLoader — Fetching config from server at : http://localhost:8888
2026-05-13 06:11:55.142 [restartedMain] INFO  [traceId=, spanId=] o.s.c.c.c.ConfigServerConfigDataLoader — Located environment: name=tavia-discovery-service, profiles=[default], label=null, version=null, state=null
2026-05-13 06:11:55.144 [restartedMain] INFO  [traceId=, spanId=] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor — Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-05-13 06:11:55.144 [restartedMain] INFO  [traceId=, spanId=] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor — For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-05-13 06:11:55.696 [restartedMain] INFO  [traceId=, spanId=] o.s.cloud.context.scope.GenericScope — BeanFactory id=c5577a8b-fec0-3fae-9748-8fc15580100b
2026-05-13 06:11:55.973 [restartedMain] INFO  [traceId=, spanId=] o.s.boot.tomcat.TomcatWebServer — Tomcat initialized with port 8761 (http)
2026-05-13 06:11:55.981 [restartedMain] INFO  [traceId=, spanId=] o.a.coyote.http11.Http11NioProtocol — Initializing ProtocolHandler ["http-nio-8761"]
2026-05-13 06:11:55.982 [restartedMain] INFO  [traceId=, spanId=] o.a.catalina.core.StandardService — Starting service [Tomcat]
2026-05-13 06:11:55.982 [restartedMain] INFO  [traceId=, spanId=] o.a.catalina.core.StandardEngine — Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-05-13 06:11:56.006 [restartedMain] INFO  [traceId=, spanId=] o.s.b.w.c.s.WebApplicationContextInitializer — Root WebApplicationContext: initialization completed in 862 ms
2026-05-13 06:11:56.560 [restartedMain] INFO  [traceId=, spanId=] c.n.d.p.DiscoveryJerseyProvider — Using JSON encoding codec LegacyJacksonJson
2026-05-13 06:11:56.560 [restartedMain] INFO  [traceId=, spanId=] c.n.d.p.DiscoveryJerseyProvider — Using JSON decoding codec LegacyJacksonJson
2026-05-13 06:11:56.680 [restartedMain] INFO  [traceId=, spanId=] c.n.d.p.DiscoveryJerseyProvider — Using XML encoding codec XStreamXml
2026-05-13 06:11:56.680 [restartedMain] INFO  [traceId=, spanId=] c.n.d.p.DiscoveryJerseyProvider — Using XML decoding codec XStreamXml
2026-05-13 06:11:56.896 [restartedMain] INFO  [traceId=, spanId=] o.s.c.n.eureka.InstanceInfoFactory — Setting initial instance status as: STARTING
2026-05-13 06:11:56.907 [restartedMain] INFO  [traceId=, spanId=] c.netflix.discovery.DiscoveryClient — Initializing Eureka in region us-east-1
2026-05-13 06:11:56.907 [restartedMain] INFO  [traceId=, spanId=] c.netflix.discovery.DiscoveryClient — Client configured to neither register nor query for data.
2026-05-13 06:11:56.908 [restartedMain] INFO  [traceId=, spanId=] c.netflix.discovery.DiscoveryClient — Discovery Client initialized at timestamp 1778641916908 with initial instances count: 0
2026-05-13 06:11:56.933 [restartedMain] INFO  [traceId=, spanId=] c.n.e.DefaultEurekaServerContext — Initializing ...
2026-05-13 06:11:56.935 [restartedMain] WARN  [traceId=, spanId=] c.n.eureka.cluster.PeerEurekaNodes — The replica size seems to be empty. Check the route 53 DNS Registry
2026-05-13 06:11:56.941 [restartedMain] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Finished initializing remote region registries. All known remote regions: []
2026-05-13 06:11:56.942 [restartedMain] INFO  [traceId=, spanId=] c.n.e.DefaultEurekaServerContext — Initialized
2026-05-13 06:11:56.949 [restartedMain] INFO  [traceId=, spanId=] o.s.c.n.e.s.EurekaServiceRegistry — Registering application TAVIA-DISCOVERY-SERVICE with eureka with status UP
2026-05-13 06:11:56.950 [restartedMain] INFO  [traceId=, spanId=] o.a.coyote.http11.Http11NioProtocol — Starting ProtocolHandler ["http-nio-8761"]
2026-05-13 06:11:56.956 [Thread-13] INFO  [traceId=, spanId=] o.s.c.n.e.s.EurekaServerBootstrap — isAws returned false
2026-05-13 06:11:56.956 [Thread-13] INFO  [traceId=, spanId=] o.s.c.n.e.s.EurekaServerBootstrap — Initialized server context
2026-05-13 06:11:56.956 [Thread-13] INFO  [traceId=, spanId=] c.n.e.r.PeerAwareInstanceRegistryImpl — Got 1 instances from neighboring DS node
2026-05-13 06:11:56.956 [Thread-13] INFO  [traceId=, spanId=] c.n.e.r.PeerAwareInstanceRegistryImpl — Renew threshold is: 1
2026-05-13 06:11:56.956 [Thread-13] INFO  [traceId=, spanId=] c.n.e.r.PeerAwareInstanceRegistryImpl — Changing status to UP
2026-05-13 06:11:56.958 [Thread-13] INFO  [traceId=, spanId=] o.s.c.n.e.s.EurekaServerInitializerConfiguration — Started Eureka Server
2026-05-13 06:11:56.958 [restartedMain] INFO  [traceId=, spanId=] o.s.boot.tomcat.TomcatWebServer — Tomcat started on port 8761 (http) with context path '/'
2026-05-13 06:11:56.959 [restartedMain] INFO  [traceId=, spanId=] o.s.c.n.e.s.EurekaAutoServiceRegistration — Updating port to 8761
2026-05-13 06:11:57.093 [restartedMain] INFO  [traceId=, spanId=] o.s.b.a.e.web.EndpointLinksResolver — Exposing 1 endpoint beneath base path '/actuator'
2026-05-13 06:11:57.098 [restartedMain] INFO  [traceId=, spanId=] c.t.d.TaviaDiscoveryServiceApplication — Started TaviaDiscoveryServiceApplication in 2.838 seconds (process running for 3.239)
2026-05-13 06:12:15.452 [http-nio-8761-exec-1] INFO  [traceId=, spanId=] o.a.c.c.C.[Tomcat].[localhost].[/] — Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-13 06:12:15.452 [http-nio-8761-exec-1] INFO  [traceId=, spanId=] o.s.web.servlet.DispatcherServlet — Initializing Servlet 'dispatcherServlet'
2026-05-13 06:12:15.460 [http-nio-8761-exec-1] INFO  [traceId=, spanId=] o.s.v.b.OptionalValidatorFactoryBean — Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-05-13 06:12:15.620 [http-nio-8761-exec-1] INFO  [traceId=, spanId=] o.s.web.servlet.DispatcherServlet — Completed initialization in 167 ms
2026-05-13 06:12:15.775 [http-nio-8761-exec-2] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-TENANT-SERVICE/10.0.0.139:tavia-tenant-service:8081 with status UP (replication=false)
2026-05-13 06:12:32.309 [http-nio-8761-exec-4] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-INVENTORY-SERVICE/10.0.0.139:tavia-inventory-service:8083 with status UP (replication=false)
2026-05-13 06:12:49.575 [http-nio-8761-exec-8] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-CATALOG-SERVICE/10.0.0.139:tavia-catalog-service:8088 with status UP (replication=false)
2026-05-13 06:12:56.957 [Eureka-EvictionTimer] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Running the evict task with compensationTime 0ms
2026-05-13 06:13:06.339 [http-nio-8761-exec-2] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-CRM-SERVICE/10.0.0.139:tavia-crm-service:8086 with status UP (replication=false)
2026-05-13 06:13:23.615 [http-nio-8761-exec-8] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-ORDER-SERVICE/10.0.0.139:tavia-order-service:8082 with status UP (replication=false)
2026-05-13 06:13:42.904 [http-nio-8761-exec-3] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-IOT-SERVICE/10.0.0.139:tavia-iot-service:8089 with status UP (replication=false)
2026-05-13 06:13:56.640 [http-nio-8761-exec-2] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-SUPPLY-SERVICE/10.0.0.139:tavia-supply-service:8091 with status UP (replication=false)
2026-05-13 06:13:56.957 [Eureka-EvictionTimer] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Running the evict task with compensationTime 0ms
